web-scraper-order,web-scraper-start-url,link,link-href,title,area,price,rooms,address,advertiser
"1598196113-1472","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=26&rows=100","ERSTBEZUG IM NEUEN INNOVATIVEN STADTTEIL REININGHAUS MIT ALLEN ANNEHMLICHKEITEN","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/erstbezug-im-neuen-innovativen-stadtteil-reininghaus-mit-allen-annehmlichkeiten-398847861/","ERSTBEZUG IM NEUEN INNOVATIVEN STADTTEIL REININGHAUS MIT ALLEN ANNEHMLICHKEITEN","49 m","630,75","2 Zimmer","8020
    
    
        Graz","IVV Verkauf und Vermietungs GmbH"
"1598196085-402","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=36&rows=100","1 Zimmer Wohnung / Garconniere St. Peter TU Graz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/1-zimmer-wohnung-garconniere-st-peter-tu-graz-386616264/","1 Zimmer Wohnung / Garconniere St. Peter TU Graz","28 m","413,-","1 Zimmer","8010
    
    
        Sankt Peter","Privat"
"1598196147-2621","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=14&rows=100","61m² / 3 Zimmer / 4. OG / großer Balkon / Innehoflage / Top 29","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/61m-3-zimmer-4-og-grosser-balkon-innehoflage-top-29-401163140/","61m² / 3 Zimmer / 4. OG / großer Balkon / Innehoflage / Top 29","61 m","856,68","3 Zimmer","8020
    
    
        Graz","Gewerblicher Anbieter"
"1598196099-910","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=31&rows=100","WG-taugliche 3-Zimmerwohnnung in zentraler Lage","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wg-taugliche-3-zimmerwohnnung-in-zentraler-lage-359696746/","WG-taugliche 3-Zimmerwohnnung in zentraler Lage","92 m","1.026,11","3 Zimmer","8010
    
    
        Graz","Immo SuSe"
"1598196155-2889","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=11&rows=100","Perfekte 2-Zimmer Wohnung ~ Neubau Erstbezug ~ mit Schloßberglick ~ die Reininghausgründe Graz ~ neue...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/perfekte-2-zimmer-wohnung-neubau-erstbezug-mit-schlossberglick-die-reininghausgruende-graz-neue-stadtteilentstehung-401581266/","Perfekte 2-Zimmer Wohnung ~ Neubau Erstbezug ~ mit Schloßberglick ~ die Reininghausgründe Graz ~ neue...","47 m","642,68","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196153-2822","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=12&rows=100","Nähe TU | 2-Zimmer Wohnung ab September verfügbar!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/naehe-tu-2-zimmer-wohnung-ab-september-verfuegbar-367981366/","Nähe TU | 2-Zimmer Wohnung ab September verfügbar!","34 m","471,09","2 Zimmer","8010
    
    
        Graz","VENTA Consulting GmbH"
"1598196164-3252","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=8&rows=100","PROVISIONSFREI ! Die ist ja schön! Terrasse, Garten und Ruhelage !","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfrei-die-ist-ja-schoen-terrasse-garten-und-ruhelage-401786213/","PROVISIONSFREI ! Die ist ja schön! Terrasse, Garten und Ruhelage !","62 m","682,56","2 Zimmer","8073
    
    
        Graz","ITH Immobilien Treuhand Hammerl"
"1598196116-1499","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=25&rows=100","Top Lage in Geidorf! Tolle 3-Zimmerwohnung mit Balkon und Tiefgarage! Schloßbergblick","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/top-lage-in-geidorf-tolle-3-zimmerwohnung-mit-balkon-und-tiefgarage-schlossbergblick-399059290/","Top Lage in Geidorf! Tolle 3-Zimmerwohnung mit Balkon und Tiefgarage! Schloßbergblick","52 m","755,-","3 Zimmer","8010
    
    
        Geidorf","grazpoint immobilien, Fuchs & Mag. Assmann OG"
"1598196093-688","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=33&rows=100","Studentenhit TU Nähe, Tiefgarage - Provisionsfrei","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/studentenhit-tu-naehe-tiefgarage-provisionsfrei-397236283/","Studentenhit TU Nähe, Tiefgarage - Provisionsfrei","30 m","490,-","1 Zimmer","8010
    
    
        Graz","Privat"
"1598196133-2150","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","GEMÜTLICHE SINGLE-WOHNUNG MIT SONNIGER UND RUHIGER TERRASSE","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/gemuetliche-single-wohnung-mit-sonniger-und-ruhiger-terrasse-400162858/","GEMÜTLICHE SINGLE-WOHNUNG MIT SONNIGER UND RUHIGER TERRASSE","31 m","393,13","1 Zimmer","8020
    
    
        Graz","Roto Immobilien GmbH & Co KG"
"1598196155-2972","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=11&rows=100","Living City / Top 14 - 2 Zimmer mit Loggia - Erstbezug","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/living-city-top-14-2-zimmer-mit-loggia-erstbezug-381749293/","Living City / Top 14 - 2 Zimmer mit Loggia - Erstbezug","47 m","610,-","1 Zimmer","8020
    
    
        Graz","Wesiak Gesellschaft m.b.H."
"1598196110-1348","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=27&rows=100","HIER IST WOHLFÜHLEN GARANTIERT! GEMÜTLICHE 3-ZIMMER-ERSTBEZUGSWOHNUG! MIT BALKON...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/hier-ist-wohlfuehlen-garantiert-gemuetliche-3-zimmer-erstbezugswohnug-mit-balkon-fussbodenheizung-und-einbaukueche-398668547/","HIER IST WOHLFÜHLEN GARANTIERT! GEMÜTLICHE 3-ZIMMER-ERSTBEZUGSWOHNUG! MIT BALKON...","70 m","999,-","3 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196144-2523","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=15&rows=100","Studentenwohnung, 3 Zimmer Leechgasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/studentenwohnung-3-zimmer-leechgasse-398053598/","Studentenwohnung, 3 Zimmer Leechgasse","80 m","890,-","3 Zimmer","8010
    
    
        Graz","Privat"
"1598196133-2134","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","TRAUMWOHNUNG ZUM VERLIEBEN - NEUE 2 ZIMMER ERSTBEZUGSWOHNUNG IN DEN...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/traumwohnung-zum-verlieben-neue-2-zimmer-erstbezugswohnung-in-den-reininghausgruenden-top-ausstattung-provisionsfrei-400176999/","TRAUMWOHNUNG ZUM VERLIEBEN - NEUE 2 ZIMMER ERSTBEZUGSWOHNUNG IN DEN...","50 m","660,55","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196144-2556","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=15&rows=100","Garconniere, 32m² - Nähe FH Joanneum","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/garconniere-32m-naehe-fh-joanneum-397953883/","Garconniere, 32m² - Nähe FH Joanneum","32 m","375,-","1 Zimmer","8020
    
    
        Graz","Privat"
"1598196124-1875","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=22&rows=100","SMARTES WOHNEN IM 4. GRAZER BEZIRK - MODERNE 2 ZIMMER WOHNUNG MIT BALKON - INNOVATION IN...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/smartes-wohnen-im-4-grazer-bezirk-moderne-2-zimmer-wohnung-mit-balkon-innovation-in-ihrem-zuhause-399604899/","SMARTES WOHNEN IM 4. GRAZER BEZIRK - MODERNE 2 ZIMMER WOHNUNG MIT BALKON - INNOVATION IN...","36 m","499,-","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196096-849","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=32&rows=100","PROVISIONSFREIE 3 Zimmerwohnung in der Peter-Rosegger-Straße","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfreie-3-zimmerwohnung-in-der-peter-rosegger-strasse-397360332/","PROVISIONSFREIE 3 Zimmerwohnung in der Peter-Rosegger-Straße","63 m","805,61","3 Zimmer","8053
    
    
        Wetzelsdorf","ED. AST Beteiligungsaktiengesell."
"1598196113-1473","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=26&rows=100","2-Zi. mit Balkontraum in Smart City Süd zu mieten!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zi-mit-balkontraum-in-smart-city-sued-zu-mieten-372344541/","2-Zi. mit Balkontraum in Smart City Süd zu mieten!","48 m","699,90","2 Zimmer","8020
    
    
        Graz","Smart City Süd"
"1598196141-2475","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=16&rows=100","Geidorf! Top-Lage! ca.81m²,3-Zimmer-Whg. m. Balkon, Essküche, WG-fähig. € 890, - inkl. BK","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/geidorf-top-lage-ca-81m-3-zimmer-whg-m-balkon-esskueche-wg-faehig-euro-890-inkl-bk-394292597/","Geidorf! Top-Lage! ca.81m²,3-Zimmer-Whg. m. Balkon, Essküche, WG-fähig. € 890, - inkl. BK","81 m","890,-","3 Zimmer","8010
    
    
        Geidorf","Sutter Immobilien"
"1598196085-473","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=36&rows=100","Provisionsfrei: gepflegte 45m² 2-Zimmer-Wohnung in Graz-Eggenberg","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfrei-gepflegte-45m-2-zimmer-wohnung-in-graz-eggenberg-396034819/","Provisionsfrei: gepflegte 45m² 2-Zimmer-Wohnung in Graz-Eggenberg","45 m","561,-","2 Zimmer","8053
    
    
        Eggenberg","Privat"
"1598196082-320","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=37&rows=100","Dachgeschoss- Mietwohnung Graz-Geidorf, Grillparzerstraße","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/dachgeschoss-mietwohnung-graz-geidorf-grillparzerstrasse-395238400/","Dachgeschoss- Mietwohnung Graz-Geidorf, Grillparzerstraße","49 m","519,31","1 Zimmer","8010
    
    
        Graz","Tripold Immobilien"
"1598196136-2228","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=18&rows=100","LICHTDURCHFLUTETE 3-ZIMMER-WOHNUNG MIT SONNIGER LOGGIA IM TRENDVIERTEL LEND","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/lichtdurchflutete-3-zimmer-wohnung-mit-sonniger-loggia-im-trendviertel-lend-400312091/","LICHTDURCHFLUTETE 3-ZIMMER-WOHNUNG MIT SONNIGER LOGGIA IM TRENDVIERTEL LEND","61 m","777,83","3 Zimmer","8020
    
    
        Graz","Roto Immobilien GmbH & Co KG"
"1598196164-3230","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=8&rows=100","1-Zimmer Dachgeschosswohnung/ Garconniere Keplerstraße Graz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/1-zimmer-dachgeschosswohnung-garconniere-keplerstrasse-graz-401805749/","1-Zimmer Dachgeschosswohnung/ Garconniere Keplerstraße Graz","20 m","275,60","1 Zimmer","8020
    
    
        Graz","Immobilien Verwaltung ALMAK GmbH"
"1598196127-1917","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=21&rows=100","St. Peter: 2-Zimmerwohnung Koßgasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/st-peter-2-zimmerwohnung-kossgasse-294355389/","St. Peter: 2-Zimmerwohnung Koßgasse","42 m","456,77","2 Zimmer","8010
    
    
        Graz","Hier Zuhause e.U."
"1598196085-403","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=36&rows=100","360° Tour! Nette 2 Zimmer Wohnung in der Zimmerplatzgasse!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/360-tour-nette-2-zimmer-wohnung-in-der-zimmerplatzgasse-376504318/","360° Tour! Nette 2 Zimmer Wohnung in der Zimmerplatzgasse!","52 m","472,61","2 Zimmer","8010
    
    
        Graz","Stiwog Immobilien"
"1598196090-660","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=34&rows=100","2-Zimmer-Wohnung nahe St. Peter Schulzentrum","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmer-wohnung-nahe-st-peter-schulzentrum-396884001/","2-Zimmer-Wohnung nahe St. Peter Schulzentrum","70 m","746,07","2 Zimmer","8010
    
    
        Graz","Immobilienmakler Purkarthofer Kienzl GmbH"
"1598196090-650","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=34&rows=100","Pärchenhit - Günstig & Privat/ Ruhe Lage ab 01.05.2019: Liebenau ca. 47 m² , 1 ZI + 1 Küche- Südlage, Carport...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/paerchenhit-guenstig-privat-ruhe-lage-ab-01-05-2019-liebenau-ca-47-m-1-zi-1-kueche-suedlage-carport-privat-396895559/","Pärchenhit - Günstig & Privat/ Ruhe Lage ab 01.05.2019: Liebenau ca. 47 m² , 1 ZI + 1 Küche- Südlage, Carport...","47 m","510,-","1 Zimmer","8041
    
    
        Liebenau","Privat"
"1598196167-3319","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=7&rows=100","**PROVISIONSFREI** IN SANIERUNG - ALLES NEU! *TOP AUFTEILUNG* TOP LAGE - FH JOANNEUM! WG TAUGLICH...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/-provisionsfrei-in-sanierung-alles-neu-top-aufteilung-top-lage-fh-joanneum-wg-tauglich-ab-september-401956414/","**PROVISIONSFREI** IN SANIERUNG - ALLES NEU! *TOP AUFTEILUNG* TOP LAGE - FH JOANNEUM! WG TAUGLICH...","64 m","735,90","2 Zimmer","8020
    
    
        Graz","PW Projekt Wohnen"
"1598196090-677","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=34&rows=100","COOLES DESIGN - INNOVATIVE LÖSUNGEN! WOHNEN IN DER SMART CITY MITTEN IN GRAZ! TOP AUSGESTATTETE...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/cooles-design-innovative-loesungen-wohnen-in-der-smart-city-mitten-in-graz-top-ausgestattete-2-zimmer-erstbezug-396806258/","COOLES DESIGN - INNOVATIVE LÖSUNGEN! WOHNEN IN DER SMART CITY MITTEN IN GRAZ! TOP AUSGESTATTETE...","36 m","499,-","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196181-3864","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=2&rows=100","Charmante Mietwohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/charmante-mietwohnung-395853234/","Charmante Mietwohnung","47 m","672,21","2 Zimmer","8041
    
    
        Graz","Immobilienmakler Purkarthofer Kienzl GmbH"
"1598196105-1164","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","2 Zimmer Wohnung in Graz - Jakomini","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmer-wohnung-in-graz-jakomini-398145942/","2 Zimmer Wohnung in Graz - Jakomini","42 m","590,-","null","8010
    
    
        Jakomini","Mag. Maier Immobilien"
"1598196107-1252","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=28&rows=100","Moderne 3-Zimmer-Wohnung mit sonnigem Balkon in Graz-Straßgang","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/moderne-3-zimmer-wohnung-mit-sonnigem-balkon-in-graz-strassgang-385497223/","Moderne 3-Zimmer-Wohnung mit sonnigem Balkon in Graz-Straßgang","58 m","763,16","3 Zimmer","8054
    
    
        Graz","EP Immobilien GmbH"
"1598196124-1833","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=22&rows=100","Grünoase: Garconniere mit Extraküche, Balkon und Parkplatz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/gruenoase-garconniere-mit-extrakueche-balkon-und-parkplatz-310686473/","Grünoase: Garconniere mit Extraküche, Balkon und Parkplatz","35 m","510,-","1 Zimmer","8010
    
    
        Jakomini","IMMOGRAZ"
"1598196116-1496","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=25&rows=100","360° Tour! Perfekte 2er WG Wohnung in der Nähe vom Bahnhof und Lendplatz!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/360-tour-perfekte-2er-wg-wohnung-in-der-naehe-vom-bahnhof-und-lendplatz-214302158/","360° Tour! Perfekte 2er WG Wohnung in der Nähe vom Bahnhof und Lendplatz!","64 m","665,65","2 Zimmer","8020
    
    
        Graz","Stiwog Immobilien"
"1598196133-2112","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","ALTBAU - 2 Zimmer - 35m2 - RUHELAGE","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/altbau-2-zimmer-35m2-ruhelage-393753241/","ALTBAU - 2 Zimmer - 35m2 - RUHELAGE","35 m","405,-","2 Zimmer","8020
    
    
        Graz","WAW Immobilienservices"
"1598196099-936","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=31&rows=100","Gries - 49m² - 2 Zimmer - Pärchenwohnung mit Balkon - Ruhelage","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/gries-49m-2-zimmer-paerchenwohnung-mit-balkon-ruhelage-342332688/","Gries - 49m² - 2 Zimmer - Pärchenwohnung mit Balkon - Ruhelage","49 m","570,-","2 Zimmer","8020
    
    
        Gries","C&P Immobilien AG"
"1598196122-1728","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=23&rows=100","Wohnung in Top-Lage mit Terrasse und Garten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wohnung-in-top-lage-mit-terrasse-und-garten-399451308/","Wohnung in Top-Lage mit Terrasse und Garten","50 m","616,-","2 Zimmer","8010
    
    
        Sankt Leonhard","Privat"
"1598196172-3507","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=5&rows=100","Smart City Süd: Provisionsfreie Single- oder Pärchenwohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/smart-city-sued-provisionsfreie-single-oder-paerchenwohnung-395643454/","Smart City Süd: Provisionsfreie Single- oder Pärchenwohnung","45 m","599,-","2 Zimmer","8020
    
    
        Graz","Wesiak Gesellschaft m.b.H."
"1598196170-3382","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=6&rows=100","Provisionsfreier Neubau","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfreier-neubau-388272784/","Provisionsfreier Neubau","60 m","805,38","2 Zimmer","8020
    
    
        Eggenberg","S-Commerz Beratungs- u Handels GesmbH"
"1598196172-3505","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=5&rows=100","Ruhige top aufgeteilte 2 Zimmer Dachgeschosswohnung mit Terrasse (5273)","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/ruhige-top-aufgeteilte-2-zimmer-dachgeschosswohnung-mit-terrasse-5273-395645205/","Ruhige top aufgeteilte 2 Zimmer Dachgeschosswohnung mit Terrasse (5273)","47 m","525,-","2 Zimmer","8020
    
    
        Graz","Hödl Immobilientreuhand GmbH"
"1598196102-1077","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=30&rows=100","Mietwohnung in der Richard Wagnergasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/mietwohnung-in-der-richard-wagnergasse-285359243/","Mietwohnung in der Richard Wagnergasse","null","750,-","2 Zimmer","8010
    
    
        Geidorf","IMMOXX. Immobilien Kanzlei"
"1598196153-2843","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=12&rows=100","Freundliche 2-Zimmerwohnung mit kleiner Terrasse und Gartenzugang im Herz-Jesu Viertel - Uhlandgasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/freundliche-2-zimmerwohnung-mit-kleiner-terrasse-und-gartenzugang-im-herz-jesu-viertel-uhlandgasse-401398467/","Freundliche 2-Zimmerwohnung mit kleiner Terrasse und Gartenzugang im Herz-Jesu Viertel - Uhlandgasse","46 m","550,-","2 Zimmer","8010
    
    
        Graz","Mag. Stefan Gaspar Realitäten Management KG"
"1598196107-1198","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=28&rows=100","Geidorf-Uni-Nähe: 1 schönes Zimmer im 6. Stock in einer 3-er WG zu vermieten.","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/geidorf-uni-naehe-1-schoenes-zimmer-im-6-stock-in-einer-3-er-wg-zu-vermieten-398615626/","Geidorf-Uni-Nähe: 1 schönes Zimmer im 6. Stock in einer 3-er WG zu vermieten.","18 m","340,-","1 Zimmer","8010
    
    
        Graz","Privat"
"1598196093-679","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=33&rows=100","Wohnung zu vermieten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wohnung-zu-vermieten-341863531/","Wohnung zu vermieten","67 m","790,-","3 Zimmer","8020
    
    
        Eggenberg","Lidia Winter Immobilien"
"1598196127-1962","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=21&rows=100","INNOVATIVES WOHNEN - SMARTES LEBEN! TOP AUSGESTATTETE 2-ZIMMER-WOHNUNG MIT BALKON...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/innovatives-wohnen-smartes-leben-top-ausgestattete-2-zimmer-wohnung-mit-balkon-inkl-einbaukueche-tolle-infrastruktur-399809203/","INNOVATIVES WOHNEN - SMARTES LEBEN! TOP AUSGESTATTETE 2-ZIMMER-WOHNUNG MIT BALKON...","48 m","699,-","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196124-1852","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=22&rows=100","Provisionsfrei: Sanierte 3 ZIMMER-Maisonette mit großer Terrasse 15m² und nagelneuer Einbauküche!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfrei-sanierte-3-zimmer-maisonette-mit-grosser-terrasse-15m-und-nagelneuer-einbaukueche-399620857/","Provisionsfrei: Sanierte 3 ZIMMER-Maisonette mit großer Terrasse 15m² und nagelneuer Einbauküche!","74 m","857,-","3 Zimmer","8051
    
    
        Gösting","Gewerblicher Anbieter"
"1598196172-3575","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=5&rows=100","3-Zimmer | provisionsfrei | ab sofort | ULMENHOF","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/3-zimmer-provisionsfrei-ab-sofort-ulmenhof-402006573/","3-Zimmer | provisionsfrei | ab sofort | ULMENHOF","72 m","870,01","3 Zimmer","8053
    
    
        Graz","WIGA Investment- und Beteiligungs GmbH"
"1598196082-377","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=37&rows=100","SONNIGE BALKONWOHNUNG HOHE WOHNQUALITÄT IN ABSOLUTER RUHELAGE","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/sonnige-balkonwohnung-hohe-wohnqualitaet-in-absoluter-ruhelage-310126504/","SONNIGE BALKONWOHNUNG HOHE WOHNQUALITÄT IN ABSOLUTER RUHELAGE","107 m","1.200,-","3 Zimmer","8041
    
    
        Liebenau","Real Consult Immobilientreuhand"
"1598196175-3579","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=4&rows=100","Neubau - Liebenau - 58m² - 3 Zimmer Wohnung - großer Balkon - WG-fähig","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/neubau-liebenau-58m-3-zimmer-wohnung-grosser-balkon-wg-faehig-401787465/","Neubau - Liebenau - 58m² - 3 Zimmer Wohnung - großer Balkon - WG-fähig","57 m","749,82","3 Zimmer","8041
    
    
        Liebenau","C&P Immobilien AG"
